year,region,technology,carriers,spore,capacity_twh
2030,Croatia,Hydrogen storage,hydrogen,21,1.563842286216461e-06
2030,Croatia,Hydrogen storage,hydrogen,32,0.0016728076131270174
2030,Croatia,Hydrogen storage,hydrogen,77,3.202243639891565e-06
2030,Croatia,Hydrogen storage,hydrogen,100,0.0008098045996720298
2030,Croatia,Hydrogen storage,hydrogen,206,5.018324450954765e-07
2030,Croatia,Hydrogen storage,hydrogen,255,0.0
2030,Croatia,Hydrogen storage,hydrogen,263,5.876248503306157e-06
2030,Croatia,Hydrogen storage,hydrogen,328,3.90790198750627e-06
2030,Croatia,Hydrogen storage,hydrogen,345,0.001050131554309359
2030,Croatia,Hydrogen storage,hydrogen,431,9.912800819478667e-06
2030,Croatia,Methane storage,methane,0,2.185050310697198
2030,Croatia,Methane storage,methane,21,1.041965180869126
2030,Croatia,Methane storage,methane,32,1.1377508218675818
2030,Croatia,Methane storage,methane,77,1.8443949418190468
2030,Croatia,Methane storage,methane,100,1.890345539274715
2030,Croatia,Methane storage,methane,206,0.792810915526479
2030,Croatia,Methane storage,methane,255,1.057203597763922
2030,Croatia,Methane storage,methane,263,0.47142304007210434
2030,Croatia,Methane storage,methane,328,0.6003911681830577
2030,Croatia,Methane storage,methane,345,2.041087865026969
2030,Croatia,Methane storage,methane,431,2.5081810125554087
2030,Cyprus,Battery storage,electricity,0,3.872010831810103e-06
2030,Cyprus,Battery storage,electricity,21,2.3802906275394496e-07
2030,Cyprus,Battery storage,electricity,32,0.000634993787337605
2030,Cyprus,Battery storage,electricity,77,0.00015413983618725368
2030,Cyprus,Battery storage,electricity,100,6.422631871737913e-05
2030,Cyprus,Battery storage,electricity,206,4.313590161058263e-07
2030,Cyprus,Battery storage,electricity,255,0.0
2030,Cyprus,Battery storage,electricity,263,0.012282015769242021
2030,Cyprus,Battery storage,electricity,328,0.0003739067711693472
2030,Cyprus,Battery storage,electricity,345,0.0011025342938803344
2030,Cyprus,Battery storage,electricity,431,3.0630323854553363e-06
2030,Cyprus,Heat storage,heat,0,0.0007905057432666403
2030,Cyprus,Heat storage,heat,21,0.0006642673201555109
2030,Cyprus,Heat storage,heat,32,0.06429373507301198
2030,Cyprus,Heat storage,heat,77,0.0003656031135541049
2030,Cyprus,Heat storage,heat,100,0.03903567953008551
2030,Cyprus,Heat storage,heat,206,0.0012446850276618727
2030,Cyprus,Heat storage,heat,255,0.0
2030,Cyprus,Heat storage,heat,263,0.0008254796424562572
2030,Cyprus,Heat storage,heat,328,0.0012757195495559687
2030,Cyprus,Heat storage,heat,345,0.009689621988226383
2030,Cyprus,Heat storage,heat,431,0.0011397148203366203
2030,Cyprus,Hydrogen storage,hydrogen,0,2.1468429362737287e-07
2030,Cyprus,Hydrogen storage,hydrogen,21,9.840346078776595e-06
2030,Cyprus,Hydrogen storage,hydrogen,32,0.0017683749382232828
2030,Cyprus,Hydrogen storage,hydrogen,77,1.105737593351127e-05
2030,Cyprus,Hydrogen storage,hydrogen,100,0.000268250253224496
2030,Cyprus,Hydrogen storage,hydrogen,206,7.751658645279393e-07
2030,Cyprus,Hydrogen storage,hydrogen,255,0.0
2030,Cyprus,Hydrogen storage,hydrogen,263,0.013656575568302916
2030,Cyprus,Hydrogen storage,hydrogen,328,1.6006231404966656e-05
2030,Cyprus,Hydrogen storage,hydrogen,345,0.0006536684899922403
2030,Cyprus,Hydrogen storage,hydrogen,431,0.00027098862752747644
2030,Czechia,Battery storage,electricity,0,4.542266735549481e-06
2030,Czechia,Battery storage,electricity,21,2.6533612692697307e-06
2030,Czechia,Battery storage,electricity,32,0.0007821270182170431
2030,Czechia,Battery storage,electricity,77,8.239945641427036e-06
2030,Czechia,Battery storage,electricity,100,0.00038687217343116355
2030,Czechia,Battery storage,electricity,206,8.956379696712677e-07
2030,Czechia,Battery storage,electricity,255,0.0
2030,Czechia,Battery storage,electricity,263,5.040027707555743e-06
2030,Czechia,Battery storage,electricity,328,0.00010063791874754265
2030,Czechia,Battery storage,electricity,345,0.0006340649477543311
2030,Czechia,Battery storage,electricity,431,5.435876780598336e-06
2030,Czechia,Heat storage,heat,0,0.03636469114348193
2030,Czechia,Heat storage,heat,21,0.02158958205926718
2030,Czechia,Heat storage,heat,32,0.14870778822576153
2030,Czechia,Heat storage,heat,77,0.015888510760348345
2030,Czechia,Heat storage,heat,100,0.10599087016236627
2030,Czechia,Heat storage,heat,206,0.02879862545495895
2030,Czechia,Heat storage,heat,255,0.0
2030,Czechia,Heat storage,heat,263,0.22348796635016774
2030,Czechia,Heat storage,heat,328,0.03273011152231532
2030,Czechia,Heat storage,heat,345,0.09288329040218912
2030,Czechia,Heat storage,heat,431,2.017772758207531
2030,Czechia,Hydro storage,electricity,0,0.19494197879915
2030,Czechia,Hydro storage,electricity,21,0.018642487357230602
