year,region,technology,spore,capacity_gw
2030,Bulgaria,PV,21,14.799816831940745
2030,Bulgaria,PV,32,12.678379735829296
2030,Bulgaria,PV,77,10.79588977588854
2030,Bulgaria,PV,100,1.51233724193959
2030,Bulgaria,PV,206,0.0
2030,Bulgaria,PV,255,0.0
2030,Bulgaria,PV,263,5.191320407091464
2030,Bulgaria,PV,328,18.970986969688703
2030,Bulgaria,PV,345,3.093741736243982
2030,Bulgaria,PV,431,1.6817524552954242
2030,Croatia,Bio to liquids,0,0.0
2030,Croatia,Bio to liquids,21,0.0
2030,Croatia,Bio to liquids,32,0.0
2030,Croatia,Bio to liquids,77,0.0
2030,Croatia,Bio to liquids,100,0.0003835274919109826
2030,Croatia,Bio to liquids,206,0.0
2030,Croatia,Bio to liquids,255,0.0
2030,Croatia,Bio to liquids,263,0.0
2030,Croatia,Bio to liquids,328,2.45341621949376e-05
2030,Croatia,Bio to liquids,345,0.0025915824652379808
2030,Croatia,Bio to liquids,431,0.0
2030,Croatia,CCGT,0,0.0008979641627157566
2030,Croatia,CCGT,21,0.0002218449754725262
2030,Croatia,CCGT,32,0.01588350550619636
2030,Croatia,CCGT,77,0.0016008858669026588
2030,Croatia,CCGT,100,0.016781715366128356
2030,Croatia,CCGT,206,0.0
2030,Croatia,CCGT,255,0.0
2030,Croatia,CCGT,263,0.0
2030,Croatia,CCGT,328,0.0002187633941989859
2030,Croatia,CCGT,345,0.03337061171371152
2030,Croatia,CCGT,431,0.00018882098939685933
2030,Croatia,CHP,0,0.03142610848871524
2030,Croatia,CHP,21,0.012715467133618387
2030,Croatia,CHP,32,0.05117309348001401
2030,Croatia,CHP,77,0.059829333697152036
2030,Croatia,CHP,100,0.024328669794247405
2030,Croatia,CHP,206,0.0002929229068720057
2030,Croatia,CHP,255,0.0
2030,Croatia,CHP,263,0.018528846236129177
2030,Croatia,CHP,328,0.0015945422173725802
2030,Croatia,CHP,345,0.185329652538588
2030,Croatia,CHP,431,0.7112610849999442
2030,Croatia,Hydro,0,0.48931651338250076
2030,Croatia,Hydro,21,0.07927895417427291
2030,Croatia,Hydro,32,0.26629535495399353
2030,Croatia,Hydro,77,0.17450423179558294
2030,Croatia,Hydro,100,0.5472353869942812
2030,Croatia,Hydro,206,0.26777827290067263
2030,Croatia,Hydro,255,0.1964223437813897
2030,Croatia,Hydro,263,0.20141838922363978
2030,Croatia,Hydro,328,0.5642407588723863
2030,Croatia,Hydro,345,0.18205530744620377
2030,Croatia,Hydro,431,0.08351720837017727
2030,Croatia,Offshore wind,0,0.00018291831112382246
2030,Croatia,Offshore wind,21,0.0
2030,Croatia,Offshore wind,32,0.0246349040864498
2030,Croatia,Offshore wind,77,0.00017794398717591316
2030,Croatia,Offshore wind,100,0.00639515519193605
2030,Croatia,Offshore wind,206,0.0
2030,Croatia,Offshore wind,255,0.0
2030,Croatia,Offshore wind,263,0.0
2030,Croatia,Offshore wind,328,0.0010885444753692994
2030,Croatia,Offshore wind,345,0.06705289766219297
2030,Croatia,Offshore wind,431,0.0001919736772515236
2030,Croatia,Onshore wind,0,0.0076591636727130685
2030,Croatia,Onshore wind,21,0.003324896998104369
2030,Croatia,Onshore wind,32,1.4683456186730715
2030,Croatia,Onshore wind,77,0.8815583736633105
2030,Croatia,Onshore wind,100,1.6351405030891997
2030,Croatia,Onshore wind,206,0.9922320040514285
2030,Croatia,Onshore wind,255,36.58569339651505
2030,Croatia,Onshore wind,263,8.619936661644764e-06
2030,Croatia,Onshore wind,328,14.976273590060016
2030,Croatia,Onshore wind,345,6.510485075476662
2030,Croatia,Onshore wind,431,0.012849942639080852
2030,Croatia,PV,0,0.3480886186232775
2030,Croatia,PV,21,2.8226600634044616
2030,Croatia,PV,32,6.349755925875805
2030,Croatia,PV,77,1.5570272316296503
2030,Croatia,PV,100,7.057713366928454
2030,Croatia,PV,206,0.0
2030,Croatia,PV,255,0.0
2030,Croatia,PV,263,7.575941689059013
2030,Croatia,PV,328,0.03796471891409697
2030,Croatia,PV,345,3.569625223622495
2030,Croatia,PV,431,1.7304352714037188
2030,Cyprus,Bio to liquids,0,0.0
2030,Cyprus,Bio to liquids,21,0.0
2030,Cyprus,Bio to liquids,32,0.0
2030,Cyprus,Bio to liquids,77,0.0
2030,Cyprus,Bio to liquids,100,0.00032372610835145296
2030,Cyprus,Bio to liquids,206,0.0
2030,Cyprus,Bio to liquids,255,0.0
2030,Cyprus,Bio to liquids,263,0.0
2030,Cyprus,Bio to liquids,328,0.0
2030,Cyprus,Bio to liquids,345,6.222746715792461e-05
2030,Cyprus,Bio to liquids,431,0.0
2030,Cyprus,CCGT,0,0.0004605658223938231
2030,Cyprus,CCGT,21,0.0
2030,Cyprus,CCGT,32,0.0062801644612829445
2030,Cyprus,CCGT,77,0.0
2030,Cyprus,CCGT,100,0.02269257498310408
2030,Cyprus,CCGT,206,0.0
2030,Cyprus,CCGT,255,0.0
2030,Cyprus,CCGT,263,0.0
2030,Cyprus,CCGT,328,0.0002376861275087875
2030,Cyprus,CCGT,345,0.03375337951090281
2030,Cyprus,CCGT,431,0.00036716142192226407
2030,Cyprus,CHP,0,0.0011184053636043273
2030,Cyprus,CHP,21,0.00016883549334758787
2030,Cyprus,CHP,32,0.039218289486754154
2030,Cyprus,CHP,77,0.0005989963208448915
2030,Cyprus,CHP,100,0.05321362855820159
2030,Cyprus,CHP,206,0.0
2030,Cyprus,CHP,255,0.0
2030,Cyprus,CHP,263,0.0
2030,Cyprus,CHP,328,0.0006984566840461027
2030,Cyprus,CHP,345,0.011813963059030985
2030,Cyprus,CHP,431,0.0002487180148513124
2030,Cyprus,Offshore wind,0,0.00020289634436039997
2030,Cyprus,Offshore wind,21,0.0
2030,Cyprus,Offshore wind,32,0.045641648606176255
2030,Cyprus,Offshore wind,77,6.538500331170747e-05
2030,Cyprus,Offshore wind,100,0.032897022739904476
2030,Cyprus,Offshore wind,206,0.0
2030,Cyprus,Offshore wind,255,0.0
2030,Cyprus,Offshore wind,263,0.0
2030,Cyprus,Offshore wind,328,0.00083772894747934
2030,Cyprus,Offshore wind,345,0.001130687843687646
2030,Cyprus,Offshore wind,431,0.0006547647544022019
2030,Cyprus,Onshore wind,0,0.00015719412625108444
2030,Cyprus,Onshore wind,21,0.778925623493054
2030,Cyprus,Onshore wind,32,0.7471081580873254
2030,Cyprus,Onshore wind,77,0.5179034566238526
2030,Cyprus,Onshore wind,100,0.07739073973432439
2030,Cyprus,Onshore wind,206,0.17988510398369187
2030,Cyprus,Onshore wind,255,0.35924757922546074
2030,Cyprus,Onshore wind,263,0.00021944314056305842
2030,Cyprus,Onshore wind,328,0.8561230242843764
2030,Cyprus,Onshore wind,345,0.4633945484855171
2030,Cyprus,Onshore wind,431,0.524302656845582
2030,Cyprus,PV,0,0.005477178622098461
2030,Cyprus,PV,21,1.3346702950059388
2030,Cyprus,PV,32,3.124968996387778
2030,Cyprus,PV,77,0.9128808439703757
2030,Cyprus,PV,100,2.858783751985545
2030,Cyprus,PV,206,1.1856312598009435
2030,Cyprus,PV,255,0.11590359425439759
2030,Cyprus,PV,263,38.34416622287784
2030,Cyprus,PV,328,0.011494701599868288
2030,Cyprus,PV,345,4.300244979254762
2030,Cyprus,PV,431,2.295906127712907
2030,Czechia,Bio to liquids,0,0.0
2030,Czechia,Bio to liquids,21,0.0
2030,Czechia,Bio to liquids,32,0.0
2030,Czechia,Bio to liquids,77,0.0
2030,Czechia,Bio to liquids,100,0.0009758805496135273
2030,Czechia,Bio to liquids,206,0.0
2030,Czechia,Bio to liquids,255,0.0
2030,Czechia,Bio to liquids,263,0.0
2030,Czechia,Bio to liquids,328,0.00016252447794847365
2030,Czechia,Bio to liquids,345,0.001447294072582845
2030,Czechia,Bio to liquids,431,0.0
2030,Czechia,CCGT,0,0.0008954914442145381
2030,Czechia,CCGT,21,7.262987834837931e-05
2030,Czechia,CCGT,32,0.07778130250494673
2030,Czechia,CCGT,77,0.5111334707680131
2030,Czechia,CCGT,100,0.024600563907967644
2030,Czechia,CCGT,206,0.0
2030,Czechia,CCGT,255,3.076029598389584e-05
2030,Czechia,CCGT,263,0.0
2030,Czechia,CCGT,328,0.0005383428602846969
2030,Czechia,CCGT,345,0.052590279158746166
2030,Czechia,CCGT,431,0.0004097824046903409
2030,Czechia,CHP,0,0.03504437088652513
2030,Czechia,CHP,21,0.03920548188484613
2030,Czechia,CHP,32,0.09352710961123004
2030,Czechia,CHP,77,0.1266006648378368
2030,Czechia,CHP,100,0.26177118347124284
2030,Czechia,CHP,206,0.015912389449604197
2030,Czechia,CHP,255,0.027263796440603567
2030,Czechia,CHP,263,3.026793000722203
2030,Czechia,CHP,328,0.014425494676888665
2030,Czechia,CHP,345,0.3193666719245021
2030,Czechia,CHP,431,2.2515622813171134
2030,Czechia,Hydro,0,0.21656914019091122
2030,Czechia,Hydro,21,0.042219381551850434
2030,Czechia,Hydro,32,0.024189727512778175
2030,Czechia,Hydro,77,0.20684930529377535
2030,Czechia,Hydro,100,0.2908869580182782
2030,Czechia,Hydro,206,0.22683995407623747
